No_;Nazwa_PL;Skład_PL;Opis_PL;Nazwa_EN;Skład_EN;Opis_EN;Gender;Gramatura;Net Weight;PVS Item Type Code$5452f323-059e-499a-9753-5d2c07eef904;PVS Quality Type Code$5452f323-059e-499a-9753-5d2c07eef904
TJN/JN851/L801/4;Roboczy Softshell - Level 2;Materia zewn.: 100% Poliester;Mocny i trwały materiał. Wiatro- i wodoszczelna (2,000 mm water column). Oddychający i przepuszczający parę wodną (2,000 g/m?/24 h). Stawiany kołnierz. Ergonomiczne rękawy . Przedłużany tył kurtki. Wewnętrzne mankiety. Zapia na całej długości na zamek błyskawiczny, dodatkowa listwa ochronna. Zapie kieszenie boczne, kieszeń na piersi i dodatkowa kieszeń wewnętrzna . Kieszeń na piersi zapia na rzep. Wewnątrz kieszeń na telefon. Elementy odblaskowe na rękawach i z tyłu kurtki. Wszystkie suwaki i guziki sa ukryte w celu uniknięcia uszkodzeń;Workwear Softshell Jacket-Level 2;Outer fabric: 100% Polyester;Sturdy, durable softshell. Wind- and water-repellent (2,000 mm water column). Breathable and permeable to water vapour (2,000 g/m?/24 h). Stand-up collar. Ergonomically shaped sleeves, extended back. Inner sleeve bands. Full-length concealed zip with storm flap and chin cup. Zipped side pockets, breast pocket and inner pocket. Breast pocket with flap, mobile phone pocket inside. Reflective elements on sleeves and at the back. Buttons and zips: In order to avoid the product in hand being damaged, all the buttons and zips are concealed.;M;320;0,701;SF;OR
TST/KSV-1W/K433/3;Bezrękawnik Damski Orbiter;92% poliestru, 8% spandeksu połączonego ze 100% polarem poliestrowym, 8,11 uncji/km2. (USA)/275 g/m2 (CDN);Miękka, odporna na warunki pogodowe kamizelka z zamkiem na całej długości. Funkcjonalna środkowa warstwa z wodoodpornego materiału, który zapewnia ochronę przed warunkami atmosferycznymi. Kamizelka ma lekką podszewkę z polaru zapewniającą ciepło oraz kieszenie z trykotową podszewką zapewniającą wygodę.;W's Orbiter Softshell Vest;92% Polyester, 8% Spandex Bonded with 100% Polyester Polar Fleece, 8.11oz/yd2. (USA) / 275gsm (CDN);PFC-Free Water Repellent Finish. Zippered Brushed Tricot Pockets. Adjustable Hem. Water Resistance 600mm. Breathability 1,000g/m2. +5°C (41°F) to +20°C (68°F);W;0;2,4;SF;
TMH/MH-906M/607/2;;;;Delgado Softshell;100% Polyester;A softshell jacket that's windproof and water-repellent, surface treatment Nanotex that gives a very good protection against moisture. Two side pockets and a chest pocket.;M;0;0,75;SF;
GFP/A72/L487;Świąteczny dostatek;Mieszany;"Stylizowane opakowanie kartonowe
Ozdobne wypełnienie
Syrop malina z miodem, Eterno, 500ml
Żurawinowy frykas –konfitura z żurawiny, Ogródek Dziadunia, 240g
Miód wielokwiatowy, 220g
Czerpak do miodu
Pierniczki ręcznie zdobione, Ciasteczka z Krakowa, 100g
Trufle belgijskie, Excelcium, 150g
Bombonierka, Excelcium, 180g
Kawa mielona Pellini Tradizionale, 250g
Śliwka węgierka suszona z pestką, Becla, 250g
Ciasteczka korzenne świąteczne z posypkami, Ciasteczka z Krakowa, 200g";;;;;0;0;SS;
GFP/A44/L487;Mistrzowski wybór;Mieszany;"Cooler do chłodzenia alkoholu
Ozdobne wypełnienie
Wino hiszpańskie czerwone wytrawne Glarima Tinto Joven Somontano DO, 750ml
Belgijska czekolada gorzka z truskawką, Hachez, 100g
Ekskluzywna kolekcja pralin do wina, Karmello, 130g
Migdały w czekoladzie, wyselekcjonowane bakalie, Karmello, 110g";;;;;0;0;SS;
GBZ/08-08/L487;;;;;;;;0;0;SS;
GFP/A05/L487;Ekologiczne święta;Mieszany;"Stylizowane opakowanie kartonowe
Ozdobne wypełnienie
Kawa ręcznie palona organiczna, ziarnista, 250g
Daktyle w czekoladzie BIO & Gluten free, Manufaktura Doti, 100g
Czekolada gorzka 70% z orzechami laskowymi, wegańska bezglutenowa, EKO Florka, 85g
Pierniki BIO grahamki, EKO Florka, 85g
Śliwkowy Eko-Frykas Ekologiczne Powidła ze Śliwek, 210g
Krówka BIO o smaku piernikowym, EKO Florka, 5 szt.
Morela suszona, BIO Becla, 100g
Ozdoby świąteczne";;;;;0;0;SS;
GOO/CIASTGRUNCH/L487;Ciasteczko Grunchy Etykieta;skład surowcowy: łam waflowy 50% (mąka orkiszowa, woda), płatki orkiszowe 30%, syrop ryżowy, cukier, tłuszcz kokosowy, mleko w proszku;Wyśmienite ciasteczka orkiszowe wypiekane bez tłuszczy trans z najlepszych składników naturalnych, bez spulchniaczy, polepszaczy i środków konserwujących. Utrwalane przez wypiek w wysokiej temperaturze i niskiej zawartości wody, są pożywne i bogate w pełnowartościowe składniki odżywcze dodając energię i witalność! Ciasteczka orkiszowe wykonane w opakowaniu foliowym typu flow-pack z etykietą z nadrukiem reklamowym.;;;;;0;0,02;SS;
GVG/V9544/32;Wafle holenderskie;różne;Wafle holenderskie z karmelowym wypełnieniem, 8 szt., pakowane w woreczek i puszkę z holenderskim wzorem, po umieszczeniu wafla nad gorącym napojem syrop się topi i uwalnia aromat;Dutch Waffles;Various;Eight delicious Dutch waffles with caramel-like syrup filling in the middle, packed in plastic bag and can with Dutch pattern, caramel-like syrup melts and releases its flavour after placing waffle on hot beverage;;0;0;SS;
GEO/FE-1/L487;Bombonierka Focus Eco;Mieszany;Bombonierka wykonana jest z mikrofali, logotyp wygrawerowany jest na drewnianym medalionie przywiązanym do bombonierki. Przez szybkę w obwolucie widać jej zawartość: 3 czekoladki nadziewane kremami o smaku pistacji, czekolady oraz malaga w banderolach z nadrukiem wielokolorowym. Ilość zamówienia od 200 do 300 szt.;;;;;0;0;SS;
GCO/ZK-1/L487;Zestaw Konesera Midi;Satynowy Papier;Zestaw zawiera: Czekolada świąteczna Cortez – Ciemna z żurawiną, aronią i imbirem. Czekolada świąteczna Cortez – Mleczna z wiśnią, jabłkiem i kardamonem. Czekolada pitna – Ciemna z malinami. Czekolada pitna z ciemnej czekolady. Czekolada pitna z mlecznej czekolady z wiśniami. Choinka z ciemnej czekolady z jabłkiem i cynamonem. Choinka z białej czekolady z żurawiną i pistacjami. Aniołek z białej czekolady. Pudełko wykonane z bordowo – złotych satynowych papierów, ozdobione dekorem w kształcie choinki oraz wstążką.;;;;;0;0;SS;
GBZ/09-03/L487;;;;;;;;0;0;SS;
GVE/OA077/L487;Zestaw Katalogowy;Mieszany;"koniak Martell VS  0,7l  
skrzynka kuferkowa  lakierowana w kolorze mahoniowym , wyściełana mahoniowym atłasem
 mleczna czekolada z  likierem pomarańczowym  Cointreau
 świeca aromatyczna pomarańczowo – cynamonowa
 herbata cynamonowa
 kawa Premium Arabica
 chrupiący smakołyk z kremowym nadzieniem i orzechem laskowym
 orzechy laskowe w mlecznej czekoladzie  z kawą
";;;;;0;0;SS;
GOO/CZEKO10GC/L487;;;;;;;;0;0,01;SS;
GBZ/07-14/L487;;;;;;;;0;0;SS;
GOO/GUMYWBLI4/L487;;;;;;;;0;0,006;SS;
GEO/CHT-2/L487;Choinka Tuba (Tuba Średnia M, Czekoladowe Gwiazdki);Mieszany;Pojemne tuby w kształcie Choinki wykonane z tektury frowi oklejonej papierem marszczonym i ozdobione ręcznie wzorem wypukłym lub oklejonej surowym papierem krepa (produkty ekologiczne). Zawartość: 18 czekoladek - Czekoladowe Gwiazdki lub Czekoladki Sułtańskie w banderolce z nadrukiem. Logo wygrawerowane jest na drewnianym medalu. Ilość zamówienia od 50 do 100 szt.;;;;;0;0;SS;
GFP/A46/L487;Staropolskie bogactwo;Mieszany;"Stylizowane opakowanie kartonowe
Ozdobne wypełnienie
Herbata Góralska z rumem, 500ml
Trójpak konfitur, Santos, 3x40g
Podgrzybek ze śliwką, Fungopol, 250g
Chrzan szlachecki, Rajski Smak, 245g
Mieszanka z suszu owocowego (śliwka, jabłko, gruszka), Becla, 250g
Śliwki w czekoladzie, Santos, 100g
Ozdoby świąteczne";;;;;0;0;SS;
GDA/AP805872-05/L273;;;;;;;;0;0;SS;
GDA/AP808512-B/L273;;;;;;;;0;0;SS;
GMO/CX1510/40;Drewniana ozdoba choinkowa;Drewno;Drewniana choinka z 10 różnymi ozdobami, do samodzielnego złożenia.;Wooden Xmas tree decoration;Wood;Plywood silhouette Christmas tree with 10 assorted ornaments. Assembly required.;;0;0,063;SS;
GFR/3209014/L487;Foremka do ciastek Sterne 2 szt. bordeaus i golden pearl;tworzywo sztuczne;Sterne to zestaw składający się z dwóch foremek do ciastek w kształcie gwiazd. Stworzone z tworzywa sztucznego akcesoria są łatwe do utrzymania w czystości. Aromatyczne, kruche ciasteczka w kształcie gwiazdek będą smakować nawet poza okresem świątecznym. Foremki zostały wykonane z tworzywa w żywych kolorach i mają szerokość 8,2 i 6,2 cm.;;;;;0;0;SS;
GVG/V7575/06;Zawieszka świąteczna;Poliester;Świąteczna zawieszka (choinka, renifer, płatek śniegu);Christmas Hanger;Polyester;Christmas hangers (snowflake, Christmas tree and reindeer);;0;0;SS;
GRD/X91031/08;Worek na prezenty pod choinkę Glitter;poliester 210 D;Plecak / worek ozdobiony brokatowym świątecznym motywem. Idealny na prezenty świąteczne. Wykonany z poliestru 210D. Artykuł sezonowy (nie podlega zwrotowi).;Glitter christmas gift bag;210 D polyester;Backpack decorated with a glitter Christmas theme. Perfect for Christmas gifts. Made of 210D polyester. Seasonal item, no returns accepted.;U;0;0;SS;
GDA/AP781587/L273;;;;;;;;0;0;SS;
GAS/08130/17;;;;;;;;0;0,002;SS;
GVG/V7068/05;Czapka świąteczna;Poliester;Czapka świąteczna z białym wykończeniem i pomponem;Christmas Hat;Polyester;Christmas hat with white rim and pompon on top;;0;0;SS;
GVG/V8491/05;Ogrzewacz do rąk termofor;Pvc;Ogrzewacz do rąk termofor w pokrowcu z dzianiny;Self Heating Pad;PVC;Self heating pad 'warm water bag', packed in knitted sleeve;;0;0;SS;
GPF/113233/L335;Bombka Bożonarodzeniowa Nadal;Polistyren;Bombka bożonarodzeniowa z błyszczącym wykończeniem, okrągłą zawieszką i sznurkiem o długości 5,5 cm. Indywidualne pudełko upominkowe z papieru kraft z okienkiem z przodu, aby pokazać obszar dekoracji.;;;;U;0;0;SS;
GVG/V8820/18;Świąteczna zawieszka;drewno;Świąteczna zawieszka ''gwiazda'';Christmas Hanger;Wood;Christmas hanger 'star';;0;0;SS;
GVG/V7068/04;Czapka świąteczna;Poliester;Czapka świąteczna z białym wykończeniem i pomponem;Christmas Hat;Polyester;Christmas hat with white rim and pompon on top;;0;0;SS;
GMO/CX1576/05;Składany papierowy;Papier z Recyklingu;Składana papierowa zawieszka na bombki z zapięciem na magnes.;Foldable  XMAS bauble hanger;Recycled Paper;Foldable paper Christmas bauble hanger with magnet closure.;U;0;0,02;SS;SS
GRD/R00008/99;Zestaw upominkowy Verktoy, mix ;karton, metal, stal nierdzewna;Zestaw upominkowy składający się z narzędzia wielofunkcyjnego, latarki i breloka. Całość pakowana jest w tekturowe pudełko.;;;;;0;0;SS;
TSO/00591/318/1;Sweter bez Rękawów Gentlemen;49% Bawełna/49% Akryl/2% Poliamid;Klasyczny krój, ribbowane otwory na ramiona, pasek dla lepszego komfortu.;Gentlemen Unisex Sleeveless Sweater;49% Cotton/49% Acrylic/2% Polyamide;Elastane rib 1x1 armholes and waist band for a better comfort. Fully fashion at armholes. Straight fit.;U;225;0,186;SW;
TJN/JN657/L273/3;Pulower V-Neck Pullunder bez Rękawów;100% Bawełna;Klasyczny, męski, wełniany pulower bez rękawów wykoy z lekkiej dzianiny. Posiada dekolt typu V-neck. Nadaje się do prania w pralce.;Men‘s V-Neck Pullunder    ;100% Combed Cotton;Classic cotton sleeveless pullover. Light knitted fabric. V collar. Machine washable. 100 % combed cotton, 260 g/m?;M;260;0,209;SW;OZ
TJN/JN656/K237/5;Damski Pulower bez Rękawów V-Neck Pullunder;100% Bawełna;Klasyczny bawełniany pulower bez rękawów. Lekka dzianina. Dekolt do szpica. Można prać w pralce. Dopasowany fason.;Ladies‘ V-Neck Pullunder    ;100% Combed Cotton;Classic cotton sleeveless pullover. Light knitted fabric. V collar. Machine washable. Waisted form. 100 % combed cotton, 260 g/m?;W;260;0,16;SW;OZ
TRU/716M/FN/4;Kamizelka z Dzianiny z Trójkątnym Dekoltem;50% Bawełna/50% Akryl CottonBlendTM;Klasyczny krój. Współczesny styl. Wycięty w serek pulower bez rękawów. By zachować kształt i elegancki wygląd, na mankietach i w talii wykorzystano elastan. Szybkoschnący i łatwy w pielęgnacji.;Men’s V-Neck  Sleeveless Knitted Pullover;50% Cotton/50% Acrylic CottonBlend;Classic Fit. Contemporary styling. V-cut sleeveless pullover. Elastane on ribbed armhole and waistband trim to retain shape and smart appearance. Quick to dry and Easy care. Suitable 40?C machine wash and tumble dry;M;275;0,4;SW;OZ
TJN/JN656/L021/5;Damski Pulower bez Rękawów V-Neck Pullunder;100% Bawełna;Klasyczny bawełniany pulower bez rękawów. Lekka dzianina. Dekolt do szpica. Można prać w pralce. Dopasowany fason.;Ladies‘ V-Neck Pullunder    ;100% Combed Cotton;Classic cotton sleeveless pullover. Light knitted fabric. V collar. Machine washable. Waisted form. 100 % combed cotton, 260 g/m?;W;260;0,16;SW;OZ
TRU/716M/FN/1;Kamizelka z Dzianiny z Trójkątnym Dekoltem;50% Bawełna/50% Akryl CottonBlendTM;Klasyczny krój. Współczesny styl. Wycięty w serek pulower bez rękawów. By zachować kształt i elegancki wygląd, na mankietach i w talii wykorzystano elastan. Szybkoschnący i łatwy w pielęgnacji.;Men’s V-Neck  Sleeveless Knitted Pullover;50% Cotton/50% Acrylic CottonBlend;Classic Fit. Contemporary styling. V-cut sleeveless pullover. Elastane on ribbed armhole and waistband trim to retain shape and smart appearance. Quick to dry and Easy care. Suitable 40?C machine wash and tumble dry;M;275;0,4;SW;OZ
TJN/JN656/L273/3;Damski Pulower bez Rękawów V-Neck Pullunder;100% Bawełna;Klasyczny bawełniany pulower bez rękawów. Lekka dzianina. Dekolt do szpica. Można prać w pralce. Dopasowany fason.;Ladies‘ V-Neck Pullunder    ;100% Combed Cotton;Classic cotton sleeveless pullover. Light knitted fabric. V collar. Machine washable. Waisted form. 100 % combed cotton, 260 g/m?;W;260;0,16;SW;OZ
TRU/716M/CM/6;Kamizelka z Dzianiny z Trójkątnym Dekoltem;50% Bawełna/50% Akryl CottonBlendTM;Klasyczny krój. Współczesny styl. Wycięty w serek pulower bez rękawów. By zachować kształt i elegancki wygląd, na mankietach i w talii wykorzystano elastan. Szybkoschnący i łatwy w pielęgnacji.;Men’s V-Neck  Sleeveless Knitted Pullover;50% Cotton/50% Acrylic CottonBlend;Classic Fit. Contemporary styling. V-cut sleeveless pullover. Elastane on ribbed armhole and waistband trim to retain shape and smart appearance. Quick to dry and Easy care. Suitable 40?C machine wash and tumble dry;M;275;0,4;SW;OZ
TPR/PR622/L021/2;Kamizelka z Podszewką;100% Poliester;Kamizelka z podszewką. Zapinana na pięć guzików. Dwie funkcjonalne kieszenie. Regulowana szerokość.;Men’S Lined Polyester Waistcoat;100% Polyester plain weave;Contemporary style 5 button waistcoat. 2 functional watch pockets.satin back. Satin back. Fully lined. Back adjusters. Complements ladies PR623. 40 .Domestic Wash. Complements PR520 men's trouses. Made from OEKO-TEX Standard 100 Fabric.;M;185;0,18;SW;OZ
TKA/PK904/K552/4;Męska Kamizelka Supima;100% Bawełna;Czesana bawełna. Miernik 12. Prosty krój. Wykończenie pod pachami Fully Fashion: uformowane na drutach i zmontowane na maszynie do cerowania. Dekolt, dziurka na guzik i dół wykończony ściągaczem 1x1. Wycięcie pod pachami 1x1 z podszewką. Dziurka z dopasowanymi guzikami. Brak metki firmowej, jedynie metka z rozmiarem do łatwej dekoracji.;Men's Supima Vest;100% Cotton;100% cotton Supima®. Combed cotton. Gauge 12. Straight fit. Fully Fashion armhole finish: knitted into shape and assembled on a darning machine. 1x1 rib neckline, buttonhole and bottom hem. 1x1 rib armhole with lining. Buttonhole with matching buttons. No brand label, only a size tag for easy decoration.;M;210;0,186;SW;OZ
TSO/00591/312/6;Sweter bez Rękawów Gentlemen;49% Bawełna/49% Akryl/2% Poliamid;Klasyczny krój, ribbowane otwory na ramiona, pasek dla lepszego komfortu.;Gentlemen Unisex Sleeveless Sweater;49% Cotton/49% Acrylic/2% Polyamide;Elastane rib 1x1 armholes and waist band for a better comfort. Fully fashion at armholes. Straight fit.;U;225;0,384;SW;
TJN/JN656/L215/3;Damski Pulower bez Rękawów V-Neck Pullunder;100% Bawełna;Klasyczny bawełniany pulower bez rękawów. Lekka dzianina. Dekolt do szpica. Można prać w pralce. Dopasowany fason.;Ladies‘ V-Neck Pullunder    ;100% Combed Cotton;Classic cotton sleeveless pullover. Light knitted fabric. V collar. Machine washable. Waisted form. 100 % combed cotton, 260 g/m?;W;260;0,16;SW;OZ
TKA/K969/K317/9;Sweter bez Rękawów;50% Bawełna/50% Akryl;Dopasowany krój. Podwójna warstwa wokół szyi (tasiemka wewnątrz) oraz ściągacz przy ramionach.;Men's Sleeveless V-Neck Jumper;50% Cotton/50% Acrylic;50% Cotton/50% Acrylic. Fitted style. Double layer neck and armhole rib. Taped neck. Certified STANDARD 100 by OEKO-TEX N  CQ 1007/7, IFTH.;M;290;0,384;SW;
TRL/BWM1/1/7;Kamizelka Basic;100% Poliester;Podszewka: 100% poliester. 1 kieszeń na piersi i 1 wewnętrzna kieszeń. 2 boczne kieszenie 4 guziki. Bez nadruku można prać do 30°C;Men's Waistcoat Basic;100% Polyester;Plain weave, 170 g/m2 (outer fabric). Plain weave, 60 g/m2 (lining). Waistcoat for men in a loose and comfortable fit, bust darts. 2 side pockets. 1 breast pocket. 1 inside breast pocket. 4 buttons. Washable 30°C;M;185;0,2;SW;OZ
TSO/00591/318/7;Sweter bez Rękawów Gentlemen;49% Bawełna/49% Akryl/2% Poliamid;Klasyczny krój, ribbowane otwory na ramiona, pasek dla lepszego komfortu.;Gentlemen Unisex Sleeveless Sweater;49% Cotton/49% Acrylic/2% Polyamide;Elastane rib 1x1 armholes and waist band for a better comfort. Fully fashion at armholes. Straight fit.;U;225;0,384;SW;
TST/HXR-1/K490/10;;;;;;;M;0;0,99;SW;
TRU/715F/FN/8;Damski Kardigan V-Neck;50% Bawełna/50% Akryl;Elastan na mankietach i wcięcie w talii do zachowania kształtu i eleganckiego wyglądu. Nowoczesna stylistyka. Kolor guzików dopasowany do dzianiny. Wszywany rękaw. Szybkoschnący. Można prać w 40C i suszyć w suszarce.;Ladies’ V-Neck Knitted Cardigan;50% cotton/50% acrylic CottonBlend™;Elastane on cuffs and waistband trim to retain shape and smart appearance. Contemporary styling. Self coloured buttons. Set in sleeve. Quick to dry. Extended size range. Washable at 400 and tumble dryable. Spare buttons;W;275;0,32;SW;
TJN/JN1326/K552/4;Męski Kardigan z Zamkiem;Materiał zewnętrzny: 100% Bawełna;Jakość lekkiej dzianiny bawełnianej. Stójka, zamek błyskawiczny na całej długości. Można prać w pralce. Zamek błyskawiczny: YKK.;Men's Zip Cardigan;Outer fabric: 100% cotton;Light cotton knit quality. Stand-up collar, full-length zip. Machine washable. YKK-zip.;M;260;0,403;SW;
TJN/JN660/L122/6;Damski Sweter Rozpiy V-Neck ;100% Bawełna;Klasyczny bawełniany sweter rozpiy typu cardigan. Lekka dzianina. Dekolt do szpica. Można prać w pralce. Dopasowany fason.;Ladies' V-Neck Cardigan  ;100% Combed Cotton;Classic cotton cardigan. Light knitted fabric. V neck. Machine washable. Waisted form. 100 % combed cotton, 260 g/m?;W;260;0,235;SW;
TKA/K970/L021/5;Sweter z Zamkiem 1/4;50% Bawełna/50% Akryl;Dopasowany krój. Podwójna warstwa wokół szyi (tasiemka wewnątrz). Zamek 1/4 długości.;Men's Zip Neck Jumper;50% Cotton/50% Acrylic;50% Cotton/50% Acrylic. Fitted style. Double layer cadet collar with smoke effect zip neck. Taped neck.;M;290;0,48;SW;
TST/TWX-5/L021/5;;;;;;;M;0;0,768;SW;
TPR/PR697/L215/44;Damski Sweter Rozpinany;55% Bawełna/45% Akryl;Zapinany, damski sweter z dzianiny, z długim rękawem i trójkątnym dekoltem. Miły w dotyku materiał, z dużą zawartością bawełny. Delikatna dzianina. Nowoczesny styl. Zapięcie na 7 guzików. Rękawy typu set-in. Można prać w temperaturze 40°C.;Ladies Button Through Knitted Cardigan;55% Cotton/45% Acrylic;Ladies’ long sleeve V-neck cardigan. Soft feel/Cotton rich yarn. Fine gauge knit. Button fastening. 7 button fastening. Contemporary styling. Set in sleeves. 40°C Domestic wash;W;0;0,32;SW;
TJN/JN661/L122/5;Sweter Rozpinany V-Neck ;100% Bawełna;Klasyczny bawełniany sweter rozpiy typu cardigan. Lekka dzianina. Dekolt do szpica. Można prać w pralce.;Men's V-Neck Cardigan  ;100% Combed Cotton;Classic cotton cardigan. Light knitted fabric. V collar. Machine washable. 100 % combed cotton, 260 g/m?;M;260;0,36;SW;
TPR/PR697/L021/44;Damski Sweter Rozpinany;55% Bawełna/45% Akryl;Zapinany, damski sweter z dzianiny, z długim rękawem i trójkątnym dekoltem. Miły w dotyku materiał, z dużą zawartością bawełny. Delikatna dzianina. Nowoczesny styl. Zapięcie na 7 guzików. Rękawy typu set-in. Można prać w temperaturze 40°C.;Ladies Button Through Knitted Cardigan;55% Cotton/45% Acrylic;Ladies’ long sleeve V-neck cardigan. Soft feel/Cotton rich yarn. Fine gauge knit. Button fastening. 7 button fastening. Contemporary styling. Set in sleeves. 40°C Domestic wash;W;0;0,32;SW;
TST/TWX-5/O711/6;;;;;;;M;0;0,768;SW;
TRU/715F/36/1;Damski Kardigan V-Neck;50% Bawełna/50% Akryl;Elastan na mankietach i wcięcie w talii do zachowania kształtu i eleganckiego wyglądu. Nowoczesna stylistyka. Kolor guzików dopasowany do dzianiny. Wszywany rękaw. Szybkoschnący. Można prać w 40C i suszyć w suszarce.;Ladies’ V-Neck Knitted Cardigan;50% cotton/50% acrylic CottonBlend™;Elastane on cuffs and waistband trim to retain shape and smart appearance. Contemporary styling. Self coloured buttons. Set in sleeve. Quick to dry. Extended size range. Washable at 400 and tumble dryable. Spare buttons;W;275;0,32;SW;
TKA/K961/L215/8;Męski Kardigan Rozpinany;50% Bawełna/50% Akryl;Dopasowany styl. Podwójna warstwa kołnierza, sweter zapinany na zamek. Podklejona tasiemka wokół szyi.;Men's Full Zip Cardigan;50% Cotton/50% Akcrylic;Double layer cadet collar.Smoke effect full zip front. Taped neck ;M;290;0,48;SW;
TSA/STJU248/C028/8;;;;Brooker - The unisex relaxed fit sherpa jacket;100% Recycled Polyester;Set in sleeves. Elastic recycled binding at cuffs and hem. Inside back neck recycled binding loop and back neck tape. Plastic Vislon zipper with metal puller and cord ending. Fully bonded inside Polar fleece layer and Anti piling finish. Front side contrast softshell welt pockets with hidden zip closure. Contrast softshell fabric at Pocket, back yoke and outer collar band. Inside invisible zipper at wearer left chest for easy decoration.;U;450;1,038;SW;
TKA/K962/L273/3;Damski Sweter Rozpinany;50% Bawełna/50% Akryl;Wyprofilowany krój. Podwójna warstwa kołnierza, sweter zapinany na zamek. Podklejona tasiemka wokół szyi.;Ladies Full Zip Cardigan;50% Cotton/50% Akcrylic;Shaped style. Double layer cadet collar. Smoke effect full zip front. Taped neck ;W;290;1,92;SW;
TST/HXR-1/P012/9;Bluza Męska Milano z Zamkiem 1/4;46% Poliester z Recyklingu/45% Poliester/9% Spandex;Prognoza deszczowej pogody nie powinna przeszkadzać w żadnych aktywnościach na świeżym powietrzu. Przygotuj się na niepogodę dzięki ultralekkiej kurtce Olympia Shell z wodoodporną, oddychającą tkaniną bez PFC, regulowanym kapturem i pełnej długości klapą przeciwdeszczową. Ta lekka kurtka zapewnia swobodę ruchów i doskonałe, techniczne właściwości chroniące przed niepogodą.;M'S Milano 1/4 Zip Pullover;46% Recycled Polyester/45% Polyester/9% Spandex;This lightweight stretch layer delivers comfort and warmth on cold days. Classically styled, Milano 1/4 Zip Pullover is a versatile adventurer that is as content on the city streets as it is on a mountain top. The 1/4 zip high collar allows for core temperature regulation and provides a cozy, comfortable fit. Articulated action shoulders provide unrestricted range of movement. Made with Recycled Polyester content certified by the Global Recycling Standard.;M;222;0,82;SW;
TPO/5099/L021/5;;;;New Men`s Sweater 100;100% Cotton;Ring-spun combed cotton. Elastane sleeve cuffs and waistband. Molton brushed. Cut of shoulder and arm are significantly different to article E5099;M;320;0,768;SW;
TEL/38224/L273/8;Sweter Kruger;Dzianina 52% bawełny i 48% poliestru.;Sweter Kruger. Możliwość brandingu wewnątrz.Główna metka przygotowana do odcięcia lub oderwania dla lepszego komfortu.Okrągły kołnierzyk.Kołnierzyk z płaskiego splotu.Mankiety z płaskiej dzianiny ściągaczowej.Płaski splot sciągaczowy na dole.Podwójny scieg.Kontrastowa pętelka na wieszak. Dzianina 52% bawełny i 48% poliestru. 240 g/m?.;Kruger crew sweater;Knit of 52% Cotton and 48% Polyester.;Kruger crew sweater. Interior custom branding options.Tearaway-cutaway main label for tagless comfort.Crew neck.Flat knit collar.Flat knit rib cuffs.Flat knit rib bottom hem.Double needle stitching detail.Hanger loop in contrast colour. Knit of 52% Cotton and 48% Polyester. 240 g/m?.;U;0;0;SW;
TSO/01710/312/4;;;;Men's Glory Sweater;70% Viscose/30% Polyamide;V-neck. Fitted cut. 1x1 ribbed cuffs and hem with elastane for a perfect fit. Armholes with knitting decrease.;M;220;0,378;SW;
TJN/JN656/K552/7;Damski Pulower bez Rękawów;100% Bawełna;Klasyczny bawełniany pulower bez rękawów. Lekka dzianina. Dekolt do szpica. Można prać w pralce. Dopasowany fason.;Ladies' V-Neck Pullunder    ;100% Combed Cotton;Classic cotton sleeveless pullover. Light knitted fabric. V collar. Machine washable. Waisted form. 100 % combed cotton, 260 g/m?;W;260;0,16;SW;
TPR/PR694/L215/8;Sweter Męski z Dzianiny;55% Bawełna/45% Akryl;Męski sweter z dzianiny z długim rękawem i trójkątnym dekoltem. Miękki w dotyku materiał, z dużą domieszką bawełny. Można nosić do krawatu lub bez. Delikatna dzianina. Nowoczesny styl. Rękawy typu set-in. Można prać w temperaturze 40°C.;Mens V Neck Knitted Sweater;55% Cotton/45% Acrylic;Men’s long sleeve V neck sweater. Soft feel/Cotton rich yarn. Ideal for wearing with or without a tie. Fine gauge knit. Contemporary styling. Set in sleeves. 40°C Domestic wash;M;0;0,384;SW;
TKA/K980/N238/3;;;;Men's Eco-Friendly V-Neck Jumper;50% Cotton/50% Polyester; 50% Cotton/50% Polyester. Made from 50% organic Cotton and 50% recycled Polyester. Gauge 12. Fully Fashion knit. Slim fit. Set-in sleeves. 1x1 ribbed V-neckline with fine contrasting 3 mm stripe inside the neck. 1x1 ribbed cuffs and hem. Tear-away brand label;M;270;0,96;SW;
TKA/K966/L021/2;Damski Sweter V-Neck;50% Bawełna/50% Akryl;Wyprofilowany krój. Podwójny ściągacz wokół szyi. Podklejona tasiemka wokół szyi.;Ladies V-Neck Jumper;50% Cotton/50% Akcrylic;Shaped style. Double layer neck rib.Taped neck ;W;290;0,274;SW;
TRL/WF2/1/52;Damska Kamizelka Lena (Premium);65% Poliester/35% Bawełna;Zapinana na zatrzaski. Pasek regulowany zatrzaskami na plecach. Imitowane kieszenie wykończone listewką. Uszlachetniana tkanina. Tkanina sanforyzowana. Materiał łatwy do utrzymania w czystości. Możliwość prania przemysłowego (bez nadruku) w temp. do 95°CC;Ladies' Waistcoat Lena (Premium);65% Polyester/35% Cotton;Press stud fastening. Waistband adjustable at backside with press studs. Imitated waist pockets. High refined. Preshrunk. Easy care. Industrial laundry. Washable 95°C;W;215;0,225;SW;OZ
